objectid,name,feattype,GEOID,tract_latitude,tract_longitude,lat,lon
34936,Rose Hill Plantation State Historic Site,Park and Recreation Area,45087030700,+34.6214610,-081.7049843,34.6055736,-81.6629557
34952,Boscobel Golf and Country Club,Golf Course,45007010700,+34.6422416,-082.7791119,34.613501,-82.7763489
34957,Cedar Falls Park Playground,Amusement Park,45045003201,+34.6268187,-082.3335881,34.6161964,-82.3020457
34959,Mineral Spring Park,Park and Recreation Area,45007010401,+34.6216670,-082.4858460,34.6175397,-82.479709
34962,Williamston Park,Park and Recreation Area,45007010401,+34.6216670,-082.4858460,34.6178634,-82.478853
34971,Saluda Valley Country Club,Golf Course,45007010401,+34.6216670,-082.4858460,34.6223481,-82.5167645
34974,Brookstone Meadows Golf Course,Golf Course,45007010500,+34.6393655,-082.5726968,34.6231454,-82.6217287
34990,Marlboro Country Club,Golf Course,45069960301,+34.6238660,-079.6508936,34.6308434,-79.690697
34993,Marlboro County,Amusement Park,45069960301,+34.6238660,-079.6508936,34.6317,-79.6923
35008,Edgewater Golf Club,Golf Course,45057010400,+34.6481753,-080.8538741,34.6375084,-80.8673979
35017,Cheraw State Park,Park and Recreation Area,45025950600,+34.5951251,-079.8967144,34.6407925,-79.9005402
35019,Cheraw State Park Golf Course,Golf Course,45025950600,+34.5951251,-079.8967144,34.6413386,-79.9078561
35035,Woodhaven Golf Club,Golf Course,45007010700,+34.6422416,-082.7791119,34.648033,-82.757847
35048,Cheraw Country Club,Golf Course,45025950600,+34.5951251,-079.8967144,34.6504118,-79.893137
35054,Cross Creek Plantation,Golf Course,45073030800,+34.6414943,-082.9517476,34.6528936,-82.9750704
35082,The Walker Golf Course at Clemson University,Golf Course,45077011202,+34.6464820,-082.8300268,34.6657859,-82.8433292
35084,The Walker Course,Golf Course,45077011202,+34.6464820,-082.8300268,34.6666199,-82.8419983
35099,South Carolina Botanical Gardens,Park and Recreation Area,45077011203,+34.6792351,-082.8023449,34.6726403,-82.8206197
35113,East Beach,Beach,45077011202,+34.6464820,-082.8300268,34.677292,-82.854462
35123,Parkridge Amusement,Amusement Park,45057010500,+34.6924242,-080.8004274,34.681599,-80.772247
35128,Walnut Street Park,Park and Recreation Area,45073030701,+34.6770968,-082.9344373,34.682484,-82.9497119
35129,Gateway Park,Park and Recreation Area,45077011203,+34.6792351,-082.8023449,34.6831461,-82.8173987
35130,The Beach At Clemson,Beach,45073030702,+34.6541582,-082.8855542,34.6832182,-82.8598635
