﻿wkt_geom,OBJECTID,STCTYFIPS,NAME,FEATTYPE,MNFC,TEXTLENGTH
Point (-82.20473090000001548 33.75426420000002281),27645,45065,Hamilton Branch State Park,Park and Recreation Area,9362,26
Point (-78.80532540000001518 33.75500349999998662),27656,45051,The Dunes Golf & Beach Club,Golf Course,9911,27
Point (-78.79605620000000954 33.75521409999998923),27660,45051,Singleton Swash,Beach,9357,15
Point (-78.79570949999998675 33.75717229999997926),27687,45051,The Dunes Golf & Beach Club,Golf Course,9911,27
Point (-78.94185900000002221 33.75775829999997768),27706,45051,Southgate Playground,Amusement Park,9902,20
Point (-78.79186789999999974 33.75815399999999045),27713,45051,Brigadune,Beach,9357,9
Point (-78.89163270000000239 33.75892399999997906),27728,45051,Carolina Forest Playground,Amusement Park,9902,26
Point (-78.89156070000001364 33.75896099999999933),27729,45051,Palmetto Adventure Land,Amusement Park,9902,23
Point (-78.83054709999998977 33.76226769999999533),27770,45051,Grand Dunes Golf,Golf Course,9911,16
Point (-78.78513970000000199 33.76241740000000391),27774,45051,The Beach,Beach,9357,9
Point (-79.02431119999999964 33.76280050000002575),27781,45051,The Witch Golf Links,Golf Course,9911,20
Point (-81.24597030000001041 33.76372350000002598),27803,45063,Pelion Town Park,Park and Recreation Area,9362,16
Point (-78.77907940000000053 33.76638639999998759),27851,45051,Kingston Plantation Splash Waterpark,Amusement Park,9902,36
Point (-78.77805019999999558 33.76693010000002459),27863,45051,Atlantic Ocean,Beach,9357,14
Point (-78.81959430000000566 33.76695110000002842),27864,45051,Resort Club at Grand Dunes,Golf Course,9911,26
Point (-78.78874550000000454 33.76702149999999847),27868,45051,North Myrtle On The Beach,Beach,9357,25
Point (-78.8195964000000231 33.76715070000000196),27871,45051,Grande Dunes Golf Course,Golf Course,9911,24
Point (-78.77809960000001865 33.77077370000000656),27929,45051,Richmond Park,Park and Recreation Area,9362,13
Point (-78.77086780000001909 33.77090859999998429),27931,45051,Random North Myrtle Beach Spot,Beach,9357,30
Point (-78.96428400000002057 33.77104179999997768),27932,45051,Wizzard Golf Course,Golf Course,9911,19
Point (-78.76916340000002492 33.77205679999997301),27947,45051,Morning Jog On The Beach,Beach,9357,24
Point (-78.96452840000000606 33.77217419999999493),27950,45051,The Wizard Golf Club,Golf Course,9911,20
Point (-78.96084180000002561 33.7734618999999725),27961,45051,Man O' War Golf Club,Golf Course,9911,20
Point (-78.77113339999999653 33.77368020000000115),27966,45051,Myrtle Beach Travel Park Arcade And Snack Bar,Amusement Park,9902,45
Point (-78.76474730000001045 33.77408189999999877),27976,45051,Shell Hunting On The Beach,Beach,9357,26
Point (-78.77639340000001766 33.77471789999998464),27984,45051,"Arcadian Shores, North Myrtle Beach",Beach,9357,35
Point (-79.00390220000002728 33.77622949999999946),28001,45051,Burning Ridge Golf Course,Golf Course,9911,25
Point (-78.79193780000002789 33.77628229999999121),28003,45051,Game Zone,Amusement Park,9902,9
Point (-78.79099300000001449 33.77664650000002666),28007,45051,Aloha MINI Golf,Amusement Park,9902,15
Point (-78.79671749999999975 33.77667239999999538),28009,45051,The Track Myrtle Beach,Amusement Park,9902,22
