StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
45,South Carolina,45019003104,"Charleston County, SC - 45019003104",2016,34.10%,
45,South Carolina,45019003105,"Charleston County, SC - 45019003105",2016,39.40%,
45,South Carolina,45019003106,"Charleston County, SC - 45019003106",2016,13.50%,
45,South Carolina,45019003107,"Charleston County, SC - 45019003107",2016,12.20%,
45,South Carolina,45019003108,"Charleston County, SC - 45019003108",2016,37.60%,
45,South Carolina,45019003109,"Charleston County, SC - 45019003109",2016,13.20%,
45,South Carolina,45019003110,"Charleston County, SC - 45019003110",2016,21.50%,
45,South Carolina,45019003111,"Charleston County, SC - 45019003111",2016,35.10%,
45,South Carolina,45019003113,"Charleston County, SC - 45019003113",2016,16.10%,
45,South Carolina,45019003114,"Charleston County, SC - 45019003114",2016,40.90%,
45,South Carolina,45019003115,"Charleston County, SC - 45019003115",2016,14.70%,
45,South Carolina,45019003200,"Charleston County, SC - 45019003200",2016,26.70%,
45,South Carolina,45019003300,"Charleston County, SC - 45019003300",2016,42.10%,
45,South Carolina,45019003400,"Charleston County, SC - 45019003400",2016,37.10%,
45,South Carolina,45019003500,"Charleston County, SC - 45019003500",2016,23.50%,
45,South Carolina,45019003600,"Charleston County, SC - 45019003600",2016,30.40%,
45,South Carolina,45019003700,"Charleston County, SC - 45019003700",2016,33.30%,
45,South Carolina,45019003800,"Charleston County, SC - 45019003800",2016,39.50%,
45,South Carolina,45019003900,"Charleston County, SC - 45019003900",2016,24.30%,
45,South Carolina,45019004000,"Charleston County, SC - 45019004000",2016,23.00%,
45,South Carolina,45019004300,"Charleston County, SC - 45019004300",2016,45.00%,
45,South Carolina,45019004400,"Charleston County, SC - 45019004400",2016,31.40%,
45,South Carolina,45019004606,"Charleston County, SC - 45019004606",2016,17.00%,
45,South Carolina,45019004607,"Charleston County, SC - 45019004607",2016,19.00%,
45,South Carolina,45019004608,"Charleston County, SC - 45019004608",2016,8.80%,
45,South Carolina,45019004609,"Charleston County, SC - 45019004609",2016,4.30%,
45,South Carolina,45019004610,"Charleston County, SC - 45019004610",2016,4.20%,
45,South Carolina,45019004611,"Charleston County, SC - 45019004611",2016,10.90%,
45,South Carolina,45019004612,"Charleston County, SC - 45019004612",2016,22.20%,
45,South Carolina,45019004613,"Charleston County, SC - 45019004613",2016,38.30%,
45,South Carolina,45019004614,"Charleston County, SC - 45019004614",2016,8.10%,
45,South Carolina,45019004701,"Charleston County, SC - 45019004701",2016,15.60%,
45,South Carolina,45019004702,"Charleston County, SC - 45019004702",2016,21.60%,
45,South Carolina,45019004800,"Charleston County, SC - 45019004800",2016,10.00%,
45,South Carolina,45019004901,"Charleston County, SC - 45019004901",2016,26.30%,
45,South Carolina,45019004902,"Charleston County, SC - 45019004902",2016,13.30%,
45,South Carolina,45019005000,"Charleston County, SC - 45019005000",2016,0.20%,
45,South Carolina,45019005100,"Charleston County, SC - 45019005100",2016,40.40%,
45,South Carolina,45019005200,"Charleston County, SC - 45019005200",2016,19.50%,
45,South Carolina,45019005300,"Charleston County, SC - 45019005300",2016,58.20%,
45,South Carolina,45019005400,"Charleston County, SC - 45019005400",2016,23.40%,
45,South Carolina,45019005500,"Charleston County, SC - 45019005500",2016,34.90%,
45,South Carolina,45019005600,"Charleston County, SC - 45019005600",2016,8.30%,
45,South Carolina,45019005700,"Charleston County, SC - 45019005700",2016,3.80%,
45,South Carolina,45019005800,"Charleston County, SC - 45019005800",2016,1.10%,
45,South Carolina,45019990100,"Charleston County, SC - 45019990100",2016,1.60%,
45,South Carolina,45021970100,"Cherokee County, SC - 45021970100",2016,1.60%,
45,South Carolina,45021970201,"Cherokee County, SC - 45021970201",2016,8.80%,
45,South Carolina,45021970202,"Cherokee County, SC - 45021970202",2016,2.50%,
45,South Carolina,45021970301,"Cherokee County, SC - 45021970301",2016,22.80%,
45,South Carolina,45021970302,"Cherokee County, SC - 45021970302",2016,11.30%,
45,South Carolina,45021970401,"Cherokee County, SC - 45021970401",2016,3.20%,
45,South Carolina,45021970402,"Cherokee County, SC - 45021970402",2016,1.90%,
45,South Carolina,45021970501,"Cherokee County, SC - 45021970501",2016,2.30%,
45,South Carolina,45021970502,"Cherokee County, SC - 45021970502",2016,13.30%,
45,South Carolina,45021970503,"Cherokee County, SC - 45021970503",2016,1.40%,
45,South Carolina,45021970601,"Cherokee County, SC - 45021970601",2016,3.40%,
45,South Carolina,45021970602,"Cherokee County, SC - 45021970602",2016,0.40%,
45,South Carolina,45021970700,"Cherokee County, SC - 45021970700",2016,0.50%,
45,South Carolina,45023020100,"Chester County, SC - 45023020100",2016,24.30%,
45,South Carolina,45023020200,"Chester County, SC - 45023020200",2016,19.70%,
45,South Carolina,45023020300,"Chester County, SC - 45023020300",2016,9.00%,
45,South Carolina,45023020400,"Chester County, SC - 45023020400",2016,1.40%,
45,South Carolina,45023020500,"Chester County, SC - 45023020500",2016,0.40%,
45,South Carolina,45023020601,"Chester County, SC - 45023020601",2016,0.50%,
45,South Carolina,45023020602,"Chester County, SC - 45023020602",2016,1.60%,
45,South Carolina,45023020700,"Chester County, SC - 45023020700",2016,2.20%,
45,South Carolina,45023020800,"Chester County, SC - 45023020800",2016,1.00%,
45,South Carolina,45023020900,"Chester County, SC - 45023020900",2016,0.60%,
45,South Carolina,45023021000,"Chester County, SC - 45023021000",2016,3.70%,
45,South Carolina,45025950101,"Chesterfield County, SC - 45025950101",2016,1.80%,
45,South Carolina,45025950102,"Chesterfield County, SC - 45025950102",2016,2.90%,
45,South Carolina,45025950200,"Chesterfield County, SC - 45025950200",2016,1.00%,
45,South Carolina,45025950300,"Chesterfield County, SC - 45025950300",2016,0.70%,
45,South Carolina,45025950400,"Chesterfield County, SC - 45025950400",2016,1.00%,
45,South Carolina,45025950501,"Chesterfield County, SC - 45025950501",2016,0.90%,
45,South Carolina,45025950502,"Chesterfield County, SC - 45025950502",2016,4.50%,
45,South Carolina,45025950600,"Chesterfield County, SC - 45025950600",2016,1.00%,
45,South Carolina,45025950700,"Chesterfield County, SC - 45025950700",2016,0.80%,
45,South Carolina,45025950800,"Chesterfield County, SC - 45025950800",2016,1.00%,
45,South Carolina,45027960100,"Clarendon County, SC - 45027960100",2016,0.90%,
45,South Carolina,45027960201,"Clarendon County, SC - 45027960201",2016,0.50%,
45,South Carolina,45027960202,"Clarendon County, SC - 45027960202",2016,28.30%,
45,South Carolina,45027960300,"Clarendon County, SC - 45027960300",2016,0.80%,
45,South Carolina,45027960400,"Clarendon County, SC - 45027960400",2016,0.50%,
45,South Carolina,45027960500,"Clarendon County, SC - 45027960500",2016,2.10%,
45,South Carolina,45027960600,"Clarendon County, SC - 45027960600",2016,0.50%,
45,South Carolina,45027960701,"Clarendon County, SC - 45027960701",2016,2.10%,
45,South Carolina,45027960702,"Clarendon County, SC - 45027960702",2016,0.50%,
45,South Carolina,45027960703,"Clarendon County, SC - 45027960703",2016,1.10%,
45,South Carolina,45027960801,"Clarendon County, SC - 45027960801",2016,0.70%,
45,South Carolina,45027960802,"Clarendon County, SC - 45027960802",2016,0.60%,
45,South Carolina,45029970100,"Colleton County, SC - 45029970100",2016,0.30%,
45,South Carolina,45029970200,"Colleton County, SC - 45029970200",2016,0.30%,
45,South Carolina,45029970300,"Colleton County, SC - 45029970300",2016,0.50%,
45,South Carolina,45029970401,"Colleton County, SC - 45029970401",2016,0.50%,
45,South Carolina,45029970402,"Colleton County, SC - 45029970402",2016,4.60%,
45,South Carolina,45029970500,"Colleton County, SC - 45029970500",2016,10.60%,
45,South Carolina,45029970600,"Colleton County, SC - 45029970600",2016,1.00%,
45,South Carolina,45029970700,"Colleton County, SC - 45029970700",2016,0.30%,
45,South Carolina,45029970800,"Colleton County, SC - 45029970800",2016,0.20%,
45,South Carolina,45029990100,"Colleton County, SC - 45029990100",2016,0.00%,
45,South Carolina,45031010100,"Darlington County, SC - 45031010100",2016,0.60%,
45,South Carolina,45031010200,"Darlington County, SC - 45031010200",2016,1.70%,
45,South Carolina,45031010300,"Darlington County, SC - 45031010300",2016,4.90%,
45,South Carolina,45031010400,"Darlington County, SC - 45031010400",2016,1.60%,
45,South Carolina,45031010500,"Darlington County, SC - 45031010500",2016,19.90%,
45,South Carolina,45031010600,"Darlington County, SC - 45031010600",2016,5.50%,
45,South Carolina,45031010700,"Darlington County, SC - 45031010700",2016,22.20%,
45,South Carolina,45031010800,"Darlington County, SC - 45031010800",2016,1.30%,
45,South Carolina,45031010900,"Darlington County, SC - 45031010900",2016,1.90%,
45,South Carolina,45031011000,"Darlington County, SC - 45031011000",2016,3.60%,
45,South Carolina,45031011100,"Darlington County, SC - 45031011100",2016,25.60%,
45,South Carolina,45031011200,"Darlington County, SC - 45031011200",2016,11.30%,
45,South Carolina,45031011300,"Darlington County, SC - 45031011300",2016,0.90%,
45,South Carolina,45031011400,"Darlington County, SC - 45031011400",2016,7.80%,
45,South Carolina,45031011500,"Darlington County, SC - 45031011500",2016,1.20%,
45,South Carolina,45031011600,"Darlington County, SC - 45031011600",2016,0.90%,
45,South Carolina,45033970100,"Dillon County, SC - 45033970100",2016,0.60%,
45,South Carolina,45033970200,"Dillon County, SC - 45033970200",2016,1.40%,
45,South Carolina,45033970300,"Dillon County, SC - 45033970300",2016,2.80%,
45,South Carolina,45033970400,"Dillon County, SC - 45033970400",2016,5.60%,
45,South Carolina,45033970500,"Dillon County, SC - 45033970500",2016,0.70%,
45,South Carolina,45033970600,"Dillon County, SC - 45033970600",2016,0.90%,
45,South Carolina,45035010100,"Dorchester County, SC - 45035010100",2016,0.50%,
45,South Carolina,45035010200,"Dorchester County, SC - 45035010200",2016,1.20%,
45,South Carolina,45035010300,"Dorchester County, SC - 45035010300",2016,0.80%,
45,South Carolina,45035010400,"Dorchester County, SC - 45035010400",2016,0.70%,
45,South Carolina,45035010501,"Dorchester County, SC - 45035010501",2016,2.40%,
45,South Carolina,45035010503,"Dorchester County, SC - 45035010503",2016,2.40%,
45,South Carolina,45035010504,"Dorchester County, SC - 45035010504",2016,7.10%,
45,South Carolina,45035010505,"Dorchester County, SC - 45035010505",2016,14.10%,
45,South Carolina,45035010603,"Dorchester County, SC - 45035010603",2016,14.80%,
45,South Carolina,45035010604,"Dorchester County, SC - 45035010604",2016,11.50%,
45,South Carolina,45035010605,"Dorchester County, SC - 45035010605",2016,18.50%,
45,South Carolina,45035010606,"Dorchester County, SC - 45035010606",2016,11.80%,
45,South Carolina,45035010700,"Dorchester County, SC - 45035010700",2016,22.90%,
45,South Carolina,45035010801,"Dorchester County, SC - 45035010801",2016,0.50%,
45,South Carolina,45035010807,"Dorchester County, SC - 45035010807",2016,10.90%,
45,South Carolina,45035010808,"Dorchester County, SC - 45035010808",2016,20.90%,
