state_fips,state,geoid,census_tract_2,year,value,data_comment,tract_latitude,tract_longitude
45,South Carolina,45015020717,"Berkeley County, SC - 45015020717",2016,16.60%,,+33.0290919,-080.0980921
45,South Carolina,45015020718,"Berkeley County, SC - 45015020718",2016,15.50%,,+33.0440118,-080.0903542
45,South Carolina,45015020719,"Berkeley County, SC - 45015020719",2016,22.40%,,+33.0289587,-080.0728450
45,South Carolina,45015020720,"Berkeley County, SC - 45015020720",2016,23.40%,,+33.0167927,-080.0592717
45,South Carolina,45015020721,"Berkeley County, SC - 45015020721",2016,16.60%,,+33.0040521,-080.0811448
45,South Carolina,45015020722,"Berkeley County, SC - 45015020722",2016,21.40%,,+33.0056688,-080.0620665
45,South Carolina,45015020723,"Berkeley County, SC - 45015020723",2016,28.00%,,+32.9972694,-080.0464023
45,South Carolina,45015020724,"Berkeley County, SC - 45015020724",2016,4.10%,,+32.9970058,-079.9666500
45,South Carolina,45015020725,"Berkeley County, SC - 45015020725",2016,30.20%,,+32.9689219,-079.9853268
45,South Carolina,45015020804,"Berkeley County, SC - 45015020804",2016,26.20%,,+32.9757600,-080.0134479
45,South Carolina,45015020806,"Berkeley County, SC - 45015020806",2016,18.10%,,+33.0181173,-080.0318503
45,South Carolina,45015020807,"Berkeley County, SC - 45015020807",2016,9.10%,,+33.0196636,-080.0132854
45,South Carolina,45015020808,"Berkeley County, SC - 45015020808",2016,15.20%,,+32.9946875,-080.0183186
45,South Carolina,45015020809,"Berkeley County, SC - 45015020809",2016,15.80%,,+32.9860445,-080.0239889
45,South Carolina,45015020810,"Berkeley County, SC - 45015020810",2016,17.20%,,+32.9715141,-080.0321460
45,South Carolina,45015020811,"Berkeley County, SC - 45015020811",2016,31.60%,,+32.9607154,-080.0113734
45,South Carolina,45015020812,"Berkeley County, SC - 45015020812",2016,16.80%,,+32.9414521,-080.0087427
45,South Carolina,45015020901,"Berkeley County, SC - 45015020901",2016,28.90%,,+32.9077134,-080.0080983
45,South Carolina,45015020903,"Berkeley County, SC - 45015020903",2016,15.40%,,+32.9200203,-080.0032732
45,South Carolina,45015020904,"Berkeley County, SC - 45015020904",2016,13.10%,,+32.9471998,-080.0320733
45,South Carolina,45015021000,"Berkeley County, SC - 45015021000",2016,17.70%,,+32.9304423,-079.9825020
45,South Carolina,45015980100,"Berkeley County, SC - 45015980100",2016,3.80%,,+32.9647260,-080.0011160
45,South Carolina,45017950100,"Calhoun County, SC - 45017950100",2016,1.50%,,+33.7420117,-080.9452527
45,South Carolina,45017950200,"Calhoun County, SC - 45017950200",2016,0.90%,,+33.6883735,-080.8061167
45,South Carolina,45017950400,"Calhoun County, SC - 45017950400",2016,0.50%,,+33.6163620,-080.6418795
45,South Carolina,45019000100,"Charleston County, SC - 45019000100",2016,25.40%,,+32.7721636,-079.9406132
45,South Carolina,45019000200,"Charleston County, SC - 45019000200",2016,33.50%,,+32.7707910,-079.9282235
45,South Carolina,45019000400,"Charleston County, SC - 45019000400",2016,66.00%,,+32.7825377,-079.9353260
45,South Carolina,45019000500,"Charleston County, SC - 45019000500",2016,41.60%,,+32.7792848,-079.9468711
