property_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Liberty Hill Site,32.881019,-79.995172,1571 State Rd S-10-62,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Former Dee's Service Station,32.856389,-79.969072,3230 State Rd S-10-32,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Cone Mill,34.862795,-82.409364,11 Frank St,Greenville,SC,29601,Greenville County,US,Match,Exact,38299747,L,45,045,000900,1005
Former Springsteen Plant Property,34.705626,-81.207642,18 Spring St,Chester,SC,29706,Chester County,US,Match,Exact,40563648,L,45,023,020300,4026
Victor Mill,34.926919,-82.206568,224 Victor Ave Ext,Greer,SC,29651,Spartanburg County,US,Match,Non_Exact,618484739,L,45,083,023202,2011
Curtis Young Property,34.051536,-81.044756,600 Dartmouth Ave,Columbia,SC,29203,Richland County,US,Match,Exact,71842537,R,45,079,010600,3041
Arcade Textile Mill / Parcel 3,34.925535,-81.041164,5 Blackwell St,Rock Hill,SC,29730,York County,US,Match,Exact,19797411,L,45,091,060502,1000
"Masjid As-Salaam, Inc",34.051124,-81.044721,5137 State Hwy 215,Columbia,SC,29203,Richland County,US,No_Match,,,,,,,
Oakwood Commons Tract 2,33.996447,-81.102423,2367 Klapman Rd,West Columbia,SC,29169,Lexington County,US,Match,Exact,70054848,L,45,063,020505,1032
Western Auto,33.922464,-80.341705,132 N Main St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202670786,L,45,085,001300,2008
Easter Seals Building,34.029126,-81.025789,3024 Farrow Rd,Columbia,SC,29203,Richland County,US,Match,Exact,637228801,R,45,079,000900,2033
Shaw Manufacturing Site,34.471922,-82.689573,397 Masters Blvd,Anderson,SC,29626,Anderson County,US,Match,Exact,25511520,R,45,007,012002,2039
Beaumont - Land Tract,34.963231,-81.926875,NA US 176,Spartanburg,SC,29303,Spartanburg County,US,No_Match,,,,,,,
CSX,34.948371,-81.936293,254 W Main St,Spartanburg,SC,29306,Spartanburg County,US,Tie,,,,,,,
Springs Industries Lancaster Mill,34.712431,-80.773225,1157 Skipper Ave,Lancaster,SC,29720,Lancaster County,US,Match,Exact,40709972,R,45,057,010800,4012
"Dewey Duckett, Jr.",34.050776,-81.044625,5116 State Hwy 215,Columbia,SC,29203,Richland County,US,No_Match,,,,,,,
Former Newsome Chevrolet Site,33.987641,-80.982917,4104 State Hwy 16 Con,Columbia,SC,29205,Richland County,US,Match,Exact,604771873,L,45,079,002605,4016
National Guard Armory,34.369689,-80.084203,541 Carolina Ave,Hartsville,SC,29550,Darlington County,US,Tie,,,,,,,
Home Avenue Property,34.380016,-80.062308,621 Home Ave,Hartsville,SC,29550,Darlington County,US,Tie,,,,,,,
Pedigreed 1  Property,34.355573,-80.057672,1301 4th St,Hartsville,SC,29550,Darlington County,US,Match,Non_Exact,78415064,R,45,031,010600,3072
Pedigreed 2 Property,34.371174,-80.074091,301 Sixth St,Hartsville,SC,29550,Darlington County,US,Match,Non_Exact,78393753,R,45,031,010700,1009
Hartsville Oil Mill Property,34.373204,-80.067498,330 Coker Ave,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393693,L,45,031,010600,1057
Coker College Property,34.376053,-80.067785,315 E Carolina Ave,Hartsville,SC,29550,Darlington County,US,Match,Non_Exact,638927345,R,45,031,010600,1042
Poe Mill,34.858553,-82.405085,801 Buncombe St,Greenville,SC,29601,Greenville County,US,No_Match,,,,,,,
